UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN,datetime
HOUR,1694653200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26522.0,26541.77,26126.77,26173.37,1694653200,1694656799,26509.36,26541.77,1694653521,26126.77,1694654602,26173.37,64891,29520,35371,0,3472.3421,91313675.4955645,1605.70341,42212378.7692695,1866.63869,49101296.726295,0,0,2023-09-14 01:00:00+00:00
HOUR,1694656800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26173.37,26285.02,26168.62,26284.99,1694656800,1694660399,26173.36,26285.02,1694660283,26168.62,1694656803,26284.99,19196,10336,8860,0,789.01052,20694286.9044605,443.26291,11628346.5551717,345.74761,9065940.3492888,0,0,2023-09-14 02:00:00+00:00
HOUR,1694660400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26284.99,26300.0,26254.34,26265.68,1694660400,1694663999,26285.0,26300.0,1694661327,26254.34,1694662467,26265.68,16243,8078,8165,0,582.19829,15298198.1307324,294.64671,7742929.2130837,287.55158,7555268.9176487,0,0,2023-09-14 03:00:00+00:00
HOUR,1694664000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26265.68,26280.3,26196.62,26214.13,1694664000,1694667599,26265.69,26280.3,1694664890,26196.62,1694667218,26214.13,18799,8835,9964,0,937.98893,24611605.3798233,410.99849,10785260.3810865,526.99044,13826344.9987368,0,0,2023-09-14 04:00:00+00:00
HOUR,1694667600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26214.13,26241.84,26163.96,26194.76,1694667600,1694671199,26214.13,26241.84,1694668422,26163.96,1694670788,26194.76,20856,10765,10091,0,756.29403,19808940.1732821,412.64671,10807363.1215192,343.64732,9001577.0517629,0,0,2023-09-14 05:00:00+00:00
HOUR,1694671200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26194.76,26295.0,26183.95,26291.88,1694671200,1694674799,26194.76,26295.0,1694674773,26183.95,1694671258,26291.88,19834,10764,9070,0,765.31459,20084485.881421,517.6951,13584443.0455998,247.61949,6500042.8358212,0,0,2023-09-14 06:00:00+00:00
HOUR,1694674800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26291.88,26390.1,26262.34,26344.45,1694674800,1694678399,26291.87,26390.1,1694677700,26262.34,1694676606,26344.45,28627,14567,14060,0,1146.85218,30187039.1607654,601.27403,15827635.4145843,545.57815,14359403.7461811,0,0,2023-09-14 07:00:00+00:00
HOUR,1694678400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26344.45,26357.86,26275.0,26306.51,1694678400,1694681999,26344.45,26357.86,1694678706,26275.0,1694681489,26306.51,21918,9986,11932,0,1083.82138,28528627.1916583,496.79013,13078166.0370021,587.03125,15450461.1546562,0,0,2023-09-14 08:00:00+00:00
HOUR,1694682000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26306.51,26306.51,26270.0,26287.6,1694682000,1694685599,26306.51,26306.51,1694682004,26270.0,1694684497,26287.6,17229,8391,8838,0,608.38899,15992348.7574062,259.84776,6829993.9047385,348.54123,9162354.8526677,0,0,2023-09-14 09:00:00+00:00
HOUR,1694685600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26287.6,26341.9,26283.1,26334.44,1694685600,1694689199,26287.6,26341.9,1694687437,26283.1,1694685766,26334.44,19104,10118,8986,0,747.24929,19660660.4039885,424.91023,11179212.7080871,322.33906,8481447.6959014,0,0,2023-09-14 10:00:00+00:00
